WARNING: Solid "track_overlay" > Shape  > PBRAppearance "PBRAppearance" > ImageTexture : Texture image size of 'D:/用户/Lenovo/桌面/Robocup/generated/track_with_obstacle_start.png' is not a power of two: rescaling it from 3820x2600 to 4096x4096.
INFO: line_follow_transfer: Starting controller: python.exe -u line_follow_transfer.py
line_follow_transfer: camera=320x240, timestep=32ms
th=120 steer=11.0 ex=-8.12cm ang=34.5deg z=117.4cm tg=1.00 mode=1 conf=0.00 lost=129 L=4.29 R=4.69 expx=-20.8
th=120 steer=11.0 ex=-8.12cm ang=34.5deg z=117.4cm tg=1.00 mode=1 conf=0.00 lost=137 L=4.29 R=4.69 expx=-20.8
th=120 steer=11.0 ex=-8.12cm ang=34.5deg z=117.4cm tg=1.00 mode=1 conf=0.00 lost=145 L=4.29 R=4.69 expx=-20.8
th=120 steer=11.0 ex=-8.12cm ang=34.5deg z=117.4cm tg=1.00 mode=1 conf=0.00 lost=153 L=4.29 R=4.69 expx=-20.8
th=120 steer=11.0 ex=-8.12cm ang=34.5deg z=117.4cm tg=1.00 mode=1 conf=0.00 lost=161 L=4.29 R=4.69 expx=-20.8
th=120 steer=11.0 ex=-8.12cm ang=34.5deg z=117.4cm tg=1.00 mode=1 conf=0.00 lost=169 L=4.29 R=4.69 expx=-20.8
th=120 steer=11.0 ex=-8.12cm ang=34.5deg z=117.4cm tg=1.00 mode=1 conf=0.00 lost=177 L=4.29 R=4.69 expx=-20.8
th=120 steer=11.0 ex=-8.12cm ang=34.5deg z=117.4cm tg=1.00 mode=1 conf=0.00 lost=185 L=4.29 R=4.69 expx=-20.8
th=120 steer=11.0 ex=-8.12cm ang=34.5deg z=117.4cm tg=1.00 mode=1 conf=0.00 lost=193 L=4.29 R=4.69 expx=-20.8
th=120 steer=11.0 ex=-8.12cm ang=34.5deg z=117.4cm tg=1.00 mode=1 conf=0.00 lost=201 L=4.29 R=4.69 expx=-20.8
th=120 steer=11.0 ex=-8.12cm ang=34.5deg z=117.4cm tg=1.00 mode=1 conf=0.00 lost=209 L=4.29 R=4.69 expx=-20.8
th=120 steer=11.0 ex=-8.12cm ang=34.5deg z=117.4cm tg=1.00 mode=1 conf=0.00 lost=217 L=4.29 R=4.69 expx=-20.8
th=120 steer=33.5 ex=-47.38cm ang=27.3deg z=142.1cm tg=0.00 mode=0 conf=0.17 lost=0 L=2.98 R=4.22 expx=-100.8
th=120 steer=28.5 ex=-46.98cm ang=26.9deg z=152.9cm tg=1.00 mode=1 conf=0.00 lost=1 L=3.08 R=4.12 expx=-92.2
th=120 steer=34.0 ex=-44.75cm ang=27.0deg z=150.9cm tg=0.00 mode=0 conf=0.25 lost=0 L=2.97 R=4.23 expx=-89.0
th=120 steer=11.0 ex=-42.95cm ang=26.9deg z=149.1cm tg=1.00 mode=1 conf=0.00 lost=7 L=4.29 R=4.69 expx=-86.5
th=120 steer=11.0 ex=-42.95cm ang=26.9deg z=149.1cm tg=1.00 mode=1 conf=0.00 lost=15 L=4.29 R=4.69 expx=-86.5
th=120 steer=11.0 ex=-42.95cm ang=26.9deg z=149.1cm tg=1.00 mode=1 conf=0.00 lost=23 L=4.29 R=4.69 expx=-86.5
th=120 steer=-14.7 ex=30.17cm ang=30.3deg z=149.1cm tg=0.00 mode=0 conf=0.21 lost=0 L=5.22 R=4.68 expx=60.8
th=120 steer=-9.6 ex=23.92cm ang=31.0deg z=156.9cm tg=1.00 mode=1 conf=0.00 lost=1 L=4.78 R=4.42 expx=45.8
th=120 steer=11.0 ex=23.92cm ang=31.0deg z=156.9cm tg=1.00 mode=1 conf=0.00 lost=9 L=4.29 R=4.69 expx=45.8
th=120 steer=11.0 ex=23.92cm ang=31.0deg z=156.9cm tg=1.00 mode=1 conf=0.00 lost=17 L=4.29 R=4.69 expx=45.8
th=120 steer=11.0 ex=23.92cm ang=31.0deg z=156.9cm tg=1.00 mode=1 conf=0.00 lost=25 L=4.29 R=4.69 expx=45.8
th=120 steer=11.0 ex=23.92cm ang=31.0deg z=156.9cm tg=1.00 mode=1 conf=0.00 lost=33 L=4.29 R=4.69 expx=45.8
th=120 steer=11.0 ex=23.92cm ang=31.0deg z=156.9cm tg=1.00 mode=1 conf=0.00 lost=41 L=4.29 R=4.69 expx=45.8
th=120 steer=11.0 ex=23.92cm ang=31.0deg z=156.9cm tg=1.00 mode=1 conf=0.00 lost=49 L=4.29 R=4.69 expx=45.8
th=120 steer=11.0 ex=23.92cm ang=31.0deg z=156.9cm tg=1.00 mode=1 conf=0.00 lost=57 L=4.29 R=4.69 expx=45.8
th=120 steer=11.0 ex=23.92cm ang=31.0deg z=156.9cm tg=1.00 mode=1 conf=0.00 lost=65 L=4.29 R=4.69 expx=45.8
th=120 steer=11.0 ex=23.92cm ang=31.0deg z=156.9cm tg=1.00 mode=1 conf=0.00 lost=73 L=4.29 R=4.69 expx=45.8
th=120 steer=11.0 ex=23.92cm ang=31.0deg z=156.9cm tg=1.00 mode=1 conf=0.00 lost=81 L=4.29 R=4.69 expx=45.8
th=120 steer=11.0 ex=23.92cm ang=31.0deg z=156.9cm tg=1.00 mode=1 conf=0.00 lost=89 L=4.29 R=4.69 expx=45.8
th=120 steer=11.0 ex=23.92cm ang=31.0deg z=156.9cm tg=1.00 mode=1 conf=0.00 lost=97 L=4.29 R=4.69 expx=45.8
th=120 steer=11.0 ex=23.92cm ang=31.0deg z=156.9cm tg=1.00 mode=1 conf=0.00 lost=105 L=4.29 R=4.69 expx=45.8
th=120 steer=11.0 ex=23.92cm ang=31.0deg z=156.9cm tg=1.00 mode=1 conf=0.00 lost=113 L=4.29 R=4.69 expx=45.8
th=120 steer=11.0 ex=23.92cm ang=31.0deg z=156.9cm tg=1.00 mode=1 conf=0.00 lost=121 L=4.29 R=4.69 expx=45.8
th=120 steer=11.0 ex=23.92cm ang=31.0deg z=156.9cm tg=1.00 mode=1 conf=0.00 lost=129 L=4.29 R=4.69 expx=45.8
th=120 steer=11.0 ex=23.92cm ang=31.0deg z=156.9cm tg=1.00 mode=1 conf=0.00 lost=137 L=4.29 R=4.69 expx=45.8
th=120 steer=11.0 ex=23.92cm ang=31.0deg z=156.9cm tg=1.00 mode=1 conf=0.00 lost=145 L=4.29 R=4.69 expx=45.8
th=120 steer=11.0 ex=23.92cm ang=31.0deg z=156.9cm tg=1.00 mode=1 conf=0.00 lost=153 L=4.29 R=4.69 expx=45.8
th=120 steer=11.0 ex=23.92cm ang=31.0deg z=156.9cm tg=1.00 mode=1 conf=0.00 lost=161 L=4.29 R=4.69 expx=45.8
th=120 steer=11.0 ex=23.92cm ang=31.0deg z=156.9cm tg=1.00 mode=1 conf=0.00 lost=169 L=4.29 R=4.69 expx=45.8
