WARNING: Solid "track_overlay" > Shape  > PBRAppearance "PBRAppearance" > ImageTexture : Texture image size of 'D:/用户/Lenovo/桌面/Robocup/generated/track_with_obstacle_start.png' is not a power of two: rescaling it from 3820x2600 to 4096x4096.
INFO: line_follow_transfer: Starting controller: python.exe -u line_follow_transfer.py
line_follow_transfer: camera=320x240, timestep=32ms
th=120 steer=-25.4 ex=-13.78cm ang=-28.8deg z=140.2cm tg=0.80 mode=1 conf=0.93 lost=0 L=1.75 R=0.81
th=120 steer=-24.1 ex=-14.79cm ang=-29.1deg z=140.2cm tg=0.80 mode=1 conf=0.94 lost=0 L=1.72 R=0.84
th=120 steer=29.9 ex=22.48cm ang=-29.6deg z=140.2cm tg=0.80 mode=1 conf=0.90 lost=0 L=0.73 R=1.83
th=120 steer=29.6 ex=22.63cm ang=-29.7deg z=140.2cm tg=0.80 mode=1 conf=0.91 lost=0 L=0.73 R=1.83
th=120 steer=4.1 ex=3.33cm ang=-29.6deg z=140.2cm tg=0.64 mode=1 conf=0.89 lost=0 L=1.35 R=1.50
th=120 steer=4.5 ex=3.04cm ang=-29.6deg z=140.2cm tg=0.59 mode=1 conf=0.88 lost=0 L=1.39 R=1.56
th=120 steer=4.5 ex=2.94cm ang=-29.6deg z=140.2cm tg=0.57 mode=1 conf=0.87 lost=0 L=1.41 R=1.57
th=120 steer=4.3 ex=2.21cm ang=-30.1deg z=140.2cm tg=0.43 mode=1 conf=0.87 lost=0 L=1.54 R=1.70
th=120 steer=7.8 ex=2.12cm ang=-30.2deg z=140.2cm tg=0.41 mode=1 conf=0.88 lost=0 L=1.49 R=1.78
th=120 steer=-27.0 ex=-18.95cm ang=-29.4deg z=140.2cm tg=0.80 mode=1 conf=0.83 lost=0 L=1.78 R=0.78
th=120 steer=0.4 ex=1.36cm ang=-30.5deg z=140.2cm tg=0.26 mode=1 conf=0.86 lost=0 L=1.76 R=1.77
