WARNING: Solid "track_overlay" > Shape  > PBRAppearance "PBRAppearance" > ImageTexture : Texture image size of 'D:/用户/Lenovo/桌面/Robocup/generated/track_with_obstacle_start.png' is not a power of two: rescaling it from 3820x2600 to 4096x4096.
INFO: line_follow_transfer: Starting controller: python.exe -u line_follow_transfer.py
line_follow_transfer: camera=320x240, timestep=32ms
th=120 steer=25.7 ex=-14.98cm ang=20.0deg z=140.2cm tg=0.97 mode=0 conf=0.79 lost=0 L=3.30 R=4.25 expx=-58.0
th=120 steer=-10.7 ex=5.88cm ang=33.6deg z=140.2cm tg=1.00 mode=1 conf=0.56 lost=0 L=5.27 R=4.87 expx=33.5
th=120 steer=-8.3 ex=4.31cm ang=36.0deg z=132.6cm tg=1.00 mode=1 conf=0.38 lost=0 L=5.43 R=5.13 expx=23.8
th=120 steer=-14.6 ex=16.67cm ang=24.2deg z=77.8cm tg=0.00 mode=0 conf=0.24 lost=0 L=5.00 R=4.47 expx=64.2
th=120 steer=-12.2 ex=14.14cm ang=26.3deg z=77.5cm tg=0.00 mode=0 conf=0.30 lost=0 L=5.16 R=4.71 expx=51.0
th=120 steer=-13.8 ex=11.49cm ang=40.0deg z=118.9cm tg=1.00 mode=1 conf=0.33 lost=0 L=5.06 R=4.55 expx=44.5
th=120 steer=-7.2 ex=4.66cm ang=44.7deg z=125.1cm tg=1.00 mode=1 conf=0.56 lost=0 L=5.51 R=5.24 expx=17.2
th=120 steer=-2.2 ex=-0.13cm ang=46.7deg z=132.6cm tg=1.00 mode=1 conf=0.55 lost=0 L=5.85 R=5.77 expx=-0.5
th=120 steer=-4.1 ex=0.92cm ang=44.4deg z=132.6cm tg=1.00 mode=1 conf=0.56 lost=0 L=5.72 R=5.57 expx=3.0
th=120 steer=-13.3 ex=18.68cm ang=40.9deg z=140.2cm tg=0.00 mode=0 conf=0.95 lost=0 L=5.09 R=4.61 expx=40.0
th=120 steer=-7.2 ex=12.14cm ang=43.5deg z=140.2cm tg=1.00 mode=1 conf=0.00 lost=1 L=4.70 R=4.44 expx=26.0
th=120 steer=11.0 ex=12.14cm ang=43.5deg z=140.2cm tg=1.00 mode=1 conf=0.00 lost=9 L=4.09 R=4.49 expx=26.0
th=120 steer=11.0 ex=12.14cm ang=43.5deg z=140.2cm tg=1.00 mode=1 conf=0.00 lost=17 L=4.09 R=4.49 expx=26.0
th=120 steer=11.0 ex=12.14cm ang=43.5deg z=140.2cm tg=1.00 mode=1 conf=0.00 lost=25 L=4.09 R=4.49 expx=26.0
th=120 steer=11.0 ex=12.14cm ang=43.5deg z=140.2cm tg=1.00 mode=1 conf=0.00 lost=33 L=4.09 R=4.49 expx=26.0
th=120 steer=11.0 ex=12.14cm ang=43.5deg z=140.2cm tg=1.00 mode=1 conf=0.00 lost=41 L=4.09 R=4.49 expx=26.0
th=120 steer=11.0 ex=12.14cm ang=43.5deg z=140.2cm tg=1.00 mode=1 conf=0.00 lost=49 L=4.09 R=4.49 expx=26.0
th=120 steer=11.0 ex=12.14cm ang=43.5deg z=140.2cm tg=1.00 mode=1 conf=0.00 lost=57 L=4.09 R=4.49 expx=26.0
th=120 steer=11.0 ex=12.14cm ang=43.5deg z=140.2cm tg=1.00 mode=1 conf=0.00 lost=65 L=4.09 R=4.49 expx=26.0
th=120 steer=11.0 ex=12.14cm ang=43.5deg z=140.2cm tg=1.00 mode=1 conf=0.00 lost=73 L=4.09 R=4.49 expx=26.0
th=120 steer=11.0 ex=12.14cm ang=43.5deg z=140.2cm tg=1.00 mode=1 conf=0.00 lost=81 L=4.09 R=4.49 expx=26.0
th=120 steer=11.0 ex=12.14cm ang=43.5deg z=140.2cm tg=1.00 mode=1 conf=0.00 lost=89 L=4.09 R=4.49 expx=26.0
