WARNING: Solid "track_overlay" > Shape  > PBRAppearance "PBRAppearance" > ImageTexture : Texture image size of 'D:/用户/Lenovo/桌面/Robocup/generated/track_with_obstacle_start.png' is not a power of two: rescaling it from 3820x2600 to 4096x4096.
INFO: line_follow_transfer: Starting controller: python.exe -u line_follow_transfer.py
line_follow_transfer: camera=320x240, timestep=32ms
th=120 steer=-28.0 ex=-14.59cm ang=-2.2deg z=140.2cm tg=0.80 mode=1 conf=0.50 lost=0 L=2.26 R=1.23
th=120 steer=9.4 ex=11.01cm ang=14.8deg z=140.2cm tg=0.80 mode=1 conf=0.46 lost=0 L=1.57 R=1.92
th=120 steer=9.4 ex=10.70cm ang=16.0deg z=140.2cm tg=0.80 mode=1 conf=0.50 lost=0 L=1.58 R=1.92
th=120 steer=11.9 ex=9.64cm ang=17.1deg z=140.2cm tg=0.80 mode=1 conf=0.49 lost=0 L=1.53 R=1.97
th=120 steer=-24.6 ex=-11.36cm ang=1.2deg z=140.2cm tg=0.80 mode=1 conf=0.71 lost=0 L=2.20 R=1.30
th=120 steer=-23.2 ex=-12.16cm ang=0.4deg z=140.2cm tg=0.80 mode=1 conf=0.64 lost=0 L=2.17 R=1.32
th=120 steer=19.3 ex=10.65cm ang=15.2deg z=140.2cm tg=0.80 mode=1 conf=0.52 lost=0 L=1.39 R=2.10
th=120 steer=-20.8 ex=-15.66cm ang=-0.9deg z=140.2cm tg=0.80 mode=1 conf=0.58 lost=0 L=2.13 R=1.36
th=120 steer=-18.7 ex=-2.72cm ang=-34.4deg z=140.2cm tg=0.52 mode=1 conf=0.50 lost=0 L=2.28 R=1.59
th=120 steer=-1.3 ex=13.55cm ang=-34.7deg z=140.2cm tg=0.80 mode=1 conf=0.57 lost=0 L=1.77 R=1.72
th=120 steer=22.5 ex=19.18cm ang=13.1deg z=140.2cm tg=0.80 mode=1 conf=0.47 lost=0 L=1.33 R=2.16
th=120 steer=-7.0 ex=14.11cm ang=-34.7deg z=140.2cm tg=0.80 mode=1 conf=0.61 lost=0 L=1.88 R=1.62
th=120 steer=24.7 ex=21.07cm ang=14.8deg z=140.2cm tg=0.80 mode=1 conf=0.53 lost=0 L=1.29 R=2.20
th=120 steer=-21.8 ex=-2.70cm ang=-34.6deg z=140.2cm tg=0.52 mode=1 conf=0.59 lost=0 L=2.34 R=1.54
th=120 steer=-27.7 ex=-1.97cm ang=-34.1deg z=140.2cm tg=0.38 mode=1 conf=0.59 lost=0 L=2.55 R=1.53
th=120 steer=-33.9 ex=-19.55cm ang=-32.6deg z=140.2cm tg=0.80 mode=1 conf=0.54 lost=0 L=2.37 R=1.12
th=120 steer=21.2 ex=21.47cm ang=-1.5deg z=140.2cm tg=0.80 mode=1 conf=0.46 lost=0 L=1.36 R=2.14
