WARNING: Solid "track_overlay" > Shape  > PBRAppearance "PBRAppearance" > ImageTexture : Texture image size of 'D:/用户/Lenovo/桌面/Robocup/generated/track_with_obstacle_start.png' is not a power of two: rescaling it from 3820x2600 to 4096x4096.
INFO: line_follow_transfer: Starting controller: python.exe -u line_follow_transfer.py
line_follow_transfer: camera=320x240, timestep=32ms
th=120 steer=25.7 ex=-14.98cm ang=20.0deg z=140.2cm tg=0.97 mode=0 conf=0.79 lost=0 L=3.48 R=4.42 expx=-58.0
th=120 steer=-10.6 ex=5.79cm ang=33.4deg z=140.2cm tg=1.00 mode=1 conf=0.56 lost=0 L=5.52 R=5.13 expx=33.0
th=120 steer=-8.5 ex=4.45cm ang=35.8deg z=132.6cm tg=1.00 mode=1 conf=0.38 lost=0 L=5.66 R=5.35 expx=24.5
th=120 steer=-14.3 ex=15.20cm ang=23.4deg z=77.5cm tg=0.00 mode=0 conf=0.31 lost=0 L=5.25 R=4.72 expx=63.0
th=120 steer=-10.9 ex=8.97cm ang=58.6deg z=75.0cm tg=0.00 mode=0 conf=0.36 lost=0 L=5.49 R=5.09 expx=35.8
th=120 steer=-11.6 ex=10.12cm ang=40.1deg z=118.9cm tg=1.00 mode=1 conf=0.35 lost=0 L=5.44 R=5.01 expx=36.5
th=120 steer=-5.1 ex=2.97cm ang=45.3deg z=125.1cm tg=1.00 mode=1 conf=0.49 lost=0 L=5.91 R=5.72 expx=11.5
th=120 steer=-2.0 ex=-0.39cm ang=45.0deg z=132.6cm tg=1.00 mode=1 conf=0.59 lost=0 L=6.14 R=6.07 expx=-1.5
th=120 steer=-14.3 ex=19.98cm ang=40.7deg z=132.6cm tg=0.00 mode=0 conf=0.76 lost=0 L=5.24 R=4.72 expx=45.0
th=120 steer=-10.3 ex=16.11cm ang=42.1deg z=140.2cm tg=0.00 mode=0 conf=0.96 lost=0 L=5.53 R=5.15 expx=34.5
th=120 steer=-7.1 ex=12.61cm ang=42.0deg z=140.2cm tg=1.00 mode=1 conf=0.00 lost=4 L=4.92 R=4.66 expx=27.0
th=120 steer=11.0 ex=12.61cm ang=42.0deg z=140.2cm tg=1.00 mode=1 conf=0.00 lost=12 L=4.29 R=4.69 expx=27.0
th=120 steer=11.0 ex=12.61cm ang=42.0deg z=140.2cm tg=1.00 mode=1 conf=0.00 lost=20 L=4.29 R=4.69 expx=27.0
th=120 steer=11.0 ex=12.61cm ang=42.0deg z=140.2cm tg=1.00 mode=1 conf=0.00 lost=28 L=4.29 R=4.69 expx=27.0
th=120 steer=11.0 ex=12.61cm ang=42.0deg z=140.2cm tg=1.00 mode=1 conf=0.00 lost=36 L=4.29 R=4.69 expx=27.0
th=120 steer=11.0 ex=12.61cm ang=42.0deg z=140.2cm tg=1.00 mode=1 conf=0.00 lost=44 L=4.29 R=4.69 expx=27.0
th=120 steer=11.0 ex=12.61cm ang=42.0deg z=140.2cm tg=1.00 mode=1 conf=0.00 lost=52 L=4.29 R=4.69 expx=27.0
th=120 steer=11.0 ex=12.61cm ang=42.0deg z=140.2cm tg=1.00 mode=1 conf=0.00 lost=60 L=4.29 R=4.69 expx=27.0
th=120 steer=11.0 ex=12.61cm ang=42.0deg z=140.2cm tg=1.00 mode=1 conf=0.00 lost=68 L=4.29 R=4.69 expx=27.0
th=120 steer=11.0 ex=12.61cm ang=42.0deg z=140.2cm tg=1.00 mode=1 conf=0.00 lost=76 L=4.29 R=4.69 expx=27.0
th=120 steer=11.0 ex=12.61cm ang=42.0deg z=140.2cm tg=1.00 mode=1 conf=0.00 lost=84 L=4.29 R=4.69 expx=27.0
th=120 steer=11.0 ex=12.61cm ang=42.0deg z=140.2cm tg=1.00 mode=1 conf=0.00 lost=92 L=4.29 R=4.69 expx=27.0
th=120 steer=11.0 ex=12.61cm ang=42.0deg z=140.2cm tg=1.00 mode=1 conf=0.00 lost=100 L=4.29 R=4.69 expx=27.0
th=120 steer=11.0 ex=12.61cm ang=42.0deg z=140.2cm tg=1.00 mode=1 conf=0.00 lost=108 L=4.29 R=4.69 expx=27.0
th=120 steer=11.0 ex=12.61cm ang=42.0deg z=140.2cm tg=1.00 mode=1 conf=0.00 lost=116 L=4.29 R=4.69 expx=27.0
th=120 steer=11.0 ex=12.61cm ang=42.0deg z=140.2cm tg=1.00 mode=1 conf=0.00 lost=124 L=4.29 R=4.69 expx=27.0
th=120 steer=11.0 ex=12.61cm ang=42.0deg z=140.2cm tg=1.00 mode=1 conf=0.00 lost=132 L=4.29 R=4.69 expx=27.0
th=118 steer=11.0 ex=12.61cm ang=42.0deg z=140.2cm tg=1.00 mode=1 conf=0.00 lost=140 L=4.29 R=4.69 expx=27.0
th=120 steer=11.0 ex=12.61cm ang=42.0deg z=140.2cm tg=1.00 mode=1 conf=0.00 lost=148 L=4.29 R=4.69 expx=27.0
th=120 steer=11.0 ex=12.61cm ang=42.0deg z=140.2cm tg=1.00 mode=1 conf=0.00 lost=156 L=4.29 R=4.69 expx=27.0
th=120 steer=11.0 ex=12.61cm ang=42.0deg z=140.2cm tg=1.00 mode=1 conf=0.00 lost=164 L=4.29 R=4.69 expx=27.0
th=120 steer=11.0 ex=12.61cm ang=42.0deg z=140.2cm tg=1.00 mode=1 conf=0.00 lost=172 L=4.29 R=4.69 expx=27.0
th=120 steer=11.0 ex=12.61cm ang=42.0deg z=140.2cm tg=1.00 mode=1 conf=0.00 lost=180 L=4.29 R=4.69 expx=27.0
th=120 steer=11.0 ex=12.61cm ang=42.0deg z=140.2cm tg=1.00 mode=1 conf=0.00 lost=188 L=4.29 R=4.69 expx=27.0
th=120 steer=11.0 ex=12.61cm ang=42.0deg z=140.2cm tg=1.00 mode=1 conf=0.00 lost=196 L=4.29 R=4.69 expx=27.0
th=120 steer=11.0 ex=12.61cm ang=42.0deg z=140.2cm tg=1.00 mode=1 conf=0.00 lost=204 L=4.29 R=4.69 expx=27.0
th=120 steer=11.0 ex=12.61cm ang=42.0deg z=140.2cm tg=1.00 mode=1 conf=0.00 lost=212 L=4.29 R=4.69 expx=27.0
th=120 steer=11.0 ex=12.61cm ang=42.0deg z=140.2cm tg=1.00 mode=1 conf=0.00 lost=220 L=4.29 R=4.69 expx=27.0
th=120 steer=11.0 ex=12.61cm ang=42.0deg z=140.2cm tg=1.00 mode=1 conf=0.00 lost=228 L=4.29 R=4.69 expx=27.0
th=120 steer=11.0 ex=12.61cm ang=42.0deg z=140.2cm tg=1.00 mode=1 conf=0.00 lost=236 L=4.29 R=4.69 expx=27.0
th=120 steer=11.0 ex=12.61cm ang=42.0deg z=140.2cm tg=1.00 mode=1 conf=0.00 lost=244 L=4.29 R=4.69 expx=27.0
th=120 steer=1.3 ex=-2.21cm ang=41.6deg z=75.5cm tg=1.00 mode=1 conf=0.00 lost=2 L=5.21 R=5.26 expx=-10.0
th=120 steer=-0.5 ex=-2.91cm ang=46.0deg z=83.2cm tg=0.00 mode=0 conf=0.42 lost=0 L=6.24 R=6.22 expx=-10.5
th=120 steer=0.0 ex=-4.44cm ang=44.0deg z=83.2cm tg=0.00 mode=0 conf=0.40 lost=0 L=6.28 R=6.28 expx=-16.0
th=120 steer=4.5 ex=-7.35cm ang=44.4deg z=83.2cm tg=0.00 mode=0 conf=0.35 lost=0 L=5.79 R=5.96 expx=-26.5
th=120 steer=10.2 ex=-8.68cm ang=40.2deg z=77.5cm tg=0.00 mode=0 conf=0.43 lost=0 L=5.17 R=5.55 expx=-36.0
th=120 steer=9.2 ex=-8.64cm ang=37.9deg z=77.8cm tg=0.00 mode=0 conf=0.38 lost=0 L=5.28 R=5.62 expx=-33.5
th=120 steer=8.5 ex=-8.92cm ang=36.5deg z=77.5cm tg=0.00 mode=0 conf=0.43 lost=0 L=5.35 R=5.67 expx=-32.5
th=120 steer=10.0 ex=-8.68cm ang=40.2deg z=118.9cm tg=1.00 mode=1 conf=0.35 lost=0 L=5.19 R=5.56 expx=-32.5
th=120 steer=15.3 ex=-10.84cm ang=46.0deg z=118.9cm tg=1.00 mode=1 conf=0.26 lost=0 L=4.62 R=5.18 expx=-42.0
th=120 steer=15.2 ex=-9.70cm ang=37.3deg z=132.6cm tg=1.00 mode=1 conf=0.41 lost=0 L=4.63 R=5.18 expx=-39.0
th=120 steer=12.4 ex=-8.87cm ang=34.5deg z=132.6cm tg=1.00 mode=1 conf=0.41 lost=0 L=4.93 R=5.38 expx=-34.5
th=120 steer=11.7 ex=-9.15cm ang=42.1deg z=140.2cm tg=1.00 mode=1 conf=0.40 lost=0 L=5.00 R=5.43 expx=-36.0
th=120 steer=8.8 ex=-7.49cm ang=30.7deg z=140.2cm tg=1.00 mode=1 conf=0.45 lost=0 L=5.32 R=5.64 expx=-28.0
th=120 steer=10.3 ex=-7.90cm ang=30.3deg z=140.2cm tg=1.00 mode=1 conf=0.47 lost=0 L=5.16 R=5.54 expx=-30.0
th=120 steer=9.2 ex=-6.75cm ang=29.1deg z=140.2cm tg=1.00 mode=1 conf=0.48 lost=0 L=5.28 R=5.61 expx=-27.5
th=120 steer=7.8 ex=-6.51cm ang=35.3deg z=140.2cm tg=1.00 mode=1 conf=0.52 lost=0 L=5.43 R=5.72 expx=-26.5
th=120 steer=13.0 ex=-8.24cm ang=31.5deg z=140.2cm tg=1.00 mode=1 conf=0.56 lost=0 L=4.87 R=5.34 expx=-33.5
