WARNING: Solid "track_overlay" > Shape  > PBRAppearance "PBRAppearance" > ImageTexture : Texture image size of 'D:/用户/Lenovo/桌面/Robocup/generated/track_with_obstacle_start.png' is not a power of two: rescaling it from 3820x2600 to 4096x4096.
INFO: line_follow_transfer: Starting controller: python.exe -u line_follow_transfer.py
line_follow_transfer: camera=320x240, timestep=32ms
th=120 steer=11.0 ex=0.00cm ang=0.0deg z=0.0cm tg=1.00 mode=1 conf=0.00 lost=313 L=4.09 R=4.49 expx=0.0
th=120 steer=11.0 ex=0.00cm ang=0.0deg z=0.0cm tg=1.00 mode=1 conf=0.00 lost=321 L=4.09 R=4.49 expx=0.0
th=120 steer=11.0 ex=0.00cm ang=0.0deg z=0.0cm tg=1.00 mode=1 conf=0.00 lost=329 L=4.09 R=4.49 expx=0.0
th=120 steer=11.0 ex=0.00cm ang=0.0deg z=0.0cm tg=1.00 mode=1 conf=0.00 lost=337 L=4.09 R=4.49 expx=0.0
th=120 steer=11.0 ex=0.00cm ang=0.0deg z=0.0cm tg=1.00 mode=1 conf=0.00 lost=345 L=4.09 R=4.49 expx=0.0
th=120 steer=11.0 ex=0.00cm ang=0.0deg z=0.0cm tg=1.00 mode=1 conf=0.00 lost=353 L=4.09 R=4.49 expx=0.0
th=120 steer=11.0 ex=0.00cm ang=0.0deg z=0.0cm tg=1.00 mode=1 conf=0.00 lost=361 L=4.09 R=4.49 expx=0.0
th=120 steer=11.0 ex=0.00cm ang=0.0deg z=0.0cm tg=1.00 mode=1 conf=0.00 lost=369 L=4.09 R=4.49 expx=0.0
th=120 steer=11.0 ex=0.00cm ang=0.0deg z=0.0cm tg=1.00 mode=1 conf=0.00 lost=377 L=4.09 R=4.49 expx=0.0
th=120 steer=11.0 ex=0.00cm ang=0.0deg z=0.0cm tg=1.00 mode=1 conf=0.00 lost=385 L=4.09 R=4.49 expx=0.0
th=120 steer=11.0 ex=0.00cm ang=0.0deg z=0.0cm tg=1.00 mode=1 conf=0.00 lost=393 L=4.09 R=4.49 expx=0.0
th=120 steer=11.0 ex=0.00cm ang=0.0deg z=0.0cm tg=1.00 mode=1 conf=0.00 lost=401 L=4.09 R=4.49 expx=0.0
th=120 steer=11.0 ex=0.00cm ang=0.0deg z=0.0cm tg=1.00 mode=1 conf=0.00 lost=409 L=4.09 R=4.49 expx=0.0
th=120 steer=11.0 ex=0.00cm ang=0.0deg z=0.0cm tg=1.00 mode=1 conf=0.00 lost=417 L=4.09 R=4.49 expx=0.0
th=120 steer=11.0 ex=0.00cm ang=0.0deg z=0.0cm tg=1.00 mode=1 conf=0.00 lost=425 L=4.09 R=4.49 expx=0.0
th=120 steer=11.0 ex=0.00cm ang=0.0deg z=0.0cm tg=1.00 mode=1 conf=0.00 lost=433 L=4.09 R=4.49 expx=0.0
th=120 steer=11.0 ex=0.00cm ang=0.0deg z=0.0cm tg=1.00 mode=1 conf=0.00 lost=441 L=4.09 R=4.49 expx=0.0
th=120 steer=11.0 ex=0.00cm ang=0.0deg z=0.0cm tg=1.00 mode=1 conf=0.00 lost=449 L=4.09 R=4.49 expx=0.0
th=120 steer=11.0 ex=0.00cm ang=0.0deg z=0.0cm tg=1.00 mode=1 conf=0.00 lost=457 L=4.09 R=4.49 expx=0.0
th=120 steer=11.0 ex=0.00cm ang=0.0deg z=0.0cm tg=1.00 mode=1 conf=0.00 lost=465 L=4.09 R=4.49 expx=0.0
th=120 steer=20.2 ex=-8.02cm ang=-31.4deg z=70.1cm tg=0.00 mode=0 conf=0.29 lost=0 L=3.88 R=4.62 expx=-34.2
th=120 steer=8.7 ex=-5.68cm ang=-21.3deg z=72.4cm tg=1.00 mode=1 conf=0.00 lost=2 L=4.30 R=4.62 expx=-22.0
th=120 steer=5.1 ex=-3.03cm ang=-24.2deg z=75.0cm tg=1.00 mode=1 conf=0.00 lost=1 L=4.63 R=4.82 expx=-11.8
th=120 steer=11.0 ex=-3.03cm ang=-24.2deg z=75.0cm tg=1.00 mode=1 conf=0.00 lost=9 L=4.09 R=4.49 expx=-11.8
th=120 steer=2.4 ex=-0.14cm ang=-24.8deg z=80.4cm tg=0.00 mode=0 conf=0.21 lost=0 L=5.75 R=5.84 expx=-0.5
th=120 steer=-0.6 ex=3.87cm ang=-50.3deg z=77.5cm tg=0.00 mode=0 conf=0.81 lost=0 L=5.96 R=5.93 expx=15.0
th=120 steer=-0.9 ex=5.43cm ang=-54.1deg z=80.4cm tg=0.00 mode=0 conf=0.64 lost=0 L=5.94 R=5.90 expx=20.5
th=120 steer=-2.7 ex=7.18cm ang=-50.3deg z=80.4cm tg=0.00 mode=0 conf=0.50 lost=0 L=5.81 R=5.71 expx=27.0
th=120 steer=-3.7 ex=8.32cm ang=-50.1deg z=83.2cm tg=0.00 mode=0 conf=0.48 lost=0 L=5.75 R=5.62 expx=30.0
th=120 steer=-3.7 ex=9.01cm ang=-50.7deg z=86.4cm tg=0.00 mode=0 conf=0.36 lost=0 L=5.75 R=5.62 expx=31.5
th=120 steer=-7.4 ex=9.27cm ang=-20.5deg z=140.2cm tg=1.00 mode=1 conf=0.31 lost=0 L=5.49 R=5.22 expx=32.2
th=120 steer=5.5 ex=-0.70cm ang=-41.8deg z=140.2cm tg=0.00 mode=0 conf=0.78 lost=0 L=5.42 R=5.63 expx=-1.5
th=120 steer=-0.4 ex=6.07cm ang=-46.0deg z=140.2cm tg=0.00 mode=0 conf=0.73 lost=0 L=5.97 R=5.96 expx=13.0
th=120 steer=-3.2 ex=11.67cm ang=-43.7deg z=140.2cm tg=0.00 mode=0 conf=0.76 lost=0 L=5.78 R=5.66 expx=25.0
th=120 steer=-5.1 ex=15.64cm ang=-42.8deg z=140.2cm tg=0.00 mode=0 conf=0.50 lost=0 L=5.65 R=5.47 expx=33.5
th=120 steer=-4.9 ex=17.68cm ang=-39.4deg z=149.6cm tg=1.00 mode=1 conf=0.00 lost=1 L=4.83 R=4.65 expx=35.8
th=120 steer=-5.0 ex=19.33cm ang=-39.5deg z=159.0cm tg=1.00 mode=1 conf=0.00 lost=4 L=4.82 R=4.64 expx=36.5
