WARNING: Solid "track_overlay" > Shape  > PBRAppearance "PBRAppearance" > ImageTexture : Texture image size of 'D:/用户/Lenovo/桌面/Robocup/generated/track_with_obstacle_start.png' is not a power of two: rescaling it from 3820x2600 to 4096x4096.
INFO: line_follow_transfer: Starting controller: python.exe -u line_follow_transfer.py
line_follow_transfer: camera=320x240, timestep=32ms
th=120 steer=-28.1 ex=-15.04cm ang=-0.4deg z=140.2cm tg=0.80 mode=1 conf=0.70 lost=0 L=2.26 R=1.23
th=120 steer=-22.9 ex=-18.27cm ang=-2.0deg z=140.2cm tg=0.80 mode=1 conf=0.67 lost=0 L=2.17 R=1.33
th=120 steer=2.3 ex=7.20cm ang=-0.7deg z=140.2cm tg=0.80 mode=1 conf=0.52 lost=0 L=1.71 R=1.79
th=120 steer=0.3 ex=15.74cm ang=-36.0deg z=140.2cm tg=0.80 mode=1 conf=0.39 lost=0 L=1.74 R=1.75
th=120 steer=-0.5 ex=16.09cm ang=-36.5deg z=140.2cm tg=0.80 mode=1 conf=0.66 lost=0 L=1.76 R=1.74
th=120 steer=-2.9 ex=16.43cm ang=-36.6deg z=140.2cm tg=0.80 mode=1 conf=0.62 lost=0 L=1.80 R=1.69
th=120 steer=24.8 ex=18.81cm ang=6.9deg z=140.2cm tg=0.80 mode=1 conf=0.38 lost=0 L=1.29 R=2.20
th=120 steer=8.0 ex=18.46cm ang=-31.3deg z=140.2cm tg=0.80 mode=1 conf=0.41 lost=0 L=1.60 R=1.90
th=120 steer=35.7 ex=19.43cm ang=32.8deg z=77.5cm tg=0.80 mode=1 conf=0.64 lost=0 L=1.09 R=2.40
th=120 steer=24.4 ex=21.11cm ang=25.3deg z=77.5cm tg=1.00 mode=1 conf=0.00 lost=1 L=1.00 R=1.90
th=120 steer=24.3 ex=20.92cm ang=25.0deg z=77.5cm tg=1.00 mode=1 conf=0.00 lost=1 L=1.00 R=1.90
th=120 steer=24.1 ex=19.43cm ang=24.3deg z=77.5cm tg=1.00 mode=1 conf=0.00 lost=2 L=1.01 R=1.89
th=120 steer=-24.7 ex=-27.67cm ang=-7.5deg z=140.2cm tg=1.00 mode=1 conf=0.00 lost=1 L=1.90 R=0.99
th=120 steer=24.1 ex=18.85cm ang=33.2deg z=77.5cm tg=1.00 mode=1 conf=0.00 lost=3 L=1.01 R=1.89
th=120 steer=-24.6 ex=-27.78cm ang=-7.3deg z=140.2cm tg=1.00 mode=1 conf=0.00 lost=4 L=1.90 R=1.00
th=120 steer=23.3 ex=21.05cm ang=26.1deg z=77.5cm tg=1.00 mode=1 conf=0.00 lost=1 L=1.02 R=1.88
th=120 steer=-25.0 ex=-27.90cm ang=-6.4deg z=140.2cm tg=1.00 mode=1 conf=0.00 lost=5 L=1.91 R=0.99
th=120 steer=23.7 ex=18.20cm ang=34.0deg z=77.5cm tg=1.00 mode=1 conf=0.00 lost=5 L=1.01 R=1.88
th=120 steer=-36.1 ex=-28.02cm ang=-39.8deg z=140.2cm tg=0.80 mode=1 conf=0.65 lost=0 L=2.41 R=1.08
th=120 steer=24.4 ex=20.40cm ang=26.4deg z=77.5cm tg=1.00 mode=1 conf=0.00 lost=3 L=1.00 R=1.90
th=120 steer=-25.2 ex=-28.02cm ang=-40.1deg z=140.2cm tg=1.00 mode=1 conf=0.00 lost=5 L=1.91 R=0.99
th=120 steer=-11.0 ex=-28.02cm ang=-40.1deg z=140.2cm tg=1.00 mode=1 conf=0.00 lost=13 L=1.65 R=1.25
th=120 steer=-11.0 ex=-28.02cm ang=-40.1deg z=140.2cm tg=1.00 mode=1 conf=0.00 lost=21 L=1.65 R=1.25
th=120 steer=22.7 ex=13.88cm ang=42.7deg z=77.5cm tg=1.00 mode=1 conf=0.00 lost=5 L=1.03 R=1.87
th=120 steer=11.0 ex=13.88cm ang=42.7deg z=77.5cm tg=1.00 mode=1 conf=0.00 lost=13 L=1.25 R=1.65
th=120 steer=11.0 ex=13.88cm ang=42.7deg z=77.5cm tg=1.00 mode=1 conf=0.00 lost=21 L=1.25 R=1.65
th=120 steer=11.0 ex=13.88cm ang=42.7deg z=77.5cm tg=1.00 mode=1 conf=0.00 lost=29 L=1.25 R=1.65
th=120 steer=-25.4 ex=-28.02cm ang=-53.7deg z=140.2cm tg=1.00 mode=1 conf=0.00 lost=2 L=1.92 R=0.98
th=120 steer=-11.0 ex=-28.02cm ang=-53.7deg z=140.2cm tg=1.00 mode=1 conf=0.00 lost=10 L=1.65 R=1.25
th=120 steer=23.0 ex=13.36cm ang=30.4deg z=77.5cm tg=1.00 mode=1 conf=0.00 lost=1 L=1.03 R=1.87
th=120 steer=11.0 ex=13.36cm ang=30.4deg z=77.5cm tg=1.00 mode=1 conf=0.00 lost=9 L=1.25 R=1.65
th=120 steer=11.0 ex=13.36cm ang=30.4deg z=77.5cm tg=1.00 mode=1 conf=0.00 lost=17 L=1.25 R=1.65
th=120 steer=11.0 ex=13.36cm ang=30.4deg z=77.5cm tg=1.00 mode=1 conf=0.00 lost=25 L=1.25 R=1.65
th=120 steer=-25.2 ex=-27.78cm ang=-53.0deg z=140.2cm tg=1.00 mode=1 conf=0.00 lost=4 L=1.91 R=0.98
th=120 steer=-11.0 ex=-27.78cm ang=-53.0deg z=140.2cm tg=1.00 mode=1 conf=0.00 lost=12 L=1.65 R=1.25
